start_lon,start_lat,start_district,end_lon,end_lat,end_district,velocity,line
20.900696,52.238953,Bemowo,20.900692,52.238956,Bemowo,0.12919659870966993,189
20.920556,52.196876,Włochy,20.920556,52.196876,Włochy,0.0,172
20.900688,52.23893,Bemowo,20.900703,52.238922,Bemowo,0.4876035896129462,189
20.9194692,52.1968984,Włochy,20.9194892,52.1968766,Włochy,0.8343108528010665,189
20.881549,52.2148119,Bemowo,20.8817575,52.2145341,Bemowo,8.742751246439436,112
21.003889,52.177879,Mokotów,21.005493,52.177956,Mokotów,19.746897989601496,189
20.959242,52.216103,Ochota,20.959229,52.216099,Ochota,0.2973206321984483,187
20.9213802,52.1958895,Włochy,20.9213782,52.195885,Włochy,0.15558394988071014,414
21.0207874,52.1794377,Mokotów,21.0215232,52.1791522,Mokotów,21.373265103150636,189
20.900934,52.23922,Bemowo,20.900928,52.239231,Bemowo,0.33160427335619796,177
20.920548,52.197049,Włochy,20.920548,52.197049,Włochy,0.0,189
20.920854,52.1960237,Włochy,20.9208546,52.1960262,Włochy,0.08429377822495915,401
20.9192247,52.1970445,Włochy,20.9192239,52.1970527,Włochy,0.2740281736913221,189
20.982977,52.216053,Ochota,20.983398,52.216072,Ochota,10.353381223108984,187
20.914429,52.200268,Włochy,20.914474,52.200638,Włochy,7.42612820206507,189
21.009375,52.175232,Mokotów,21.00775,52.176826,Mokotów,47.03192927604183,189
21.102363,52.222018,Praga Południe,21.102366,52.222014,Praga Południe,0.11013285082147918,507
20.980288,52.216545,Ochota,20.980446,52.216488,Ochota,4.4969197753543035,182
21.106615,52.233936,Praga Południe,21.104704,52.234119,Praga Południe,29.637065654097007,520
21.1164754,52.2338166,Praga Południe,21.1164685,52.2338149,Praga Południe,0.15194676838919552,125
21.004623,52.178059,Mokotów,21.00329,52.178173,Mokotów,25.413573874104927,402
21.160904,52.225842,Wawer,21.161005,52.225849,Wawer,2.076977373350502,125
21.051996,52.247729,Praga Południe,21.051996,52.247729,Praga Południe,0.0,202
21.086231,52.245248,Praga Południe,21.085078,52.24533,Praga Południe,14.224878802681197,521
21.112995,52.236145,Praga Południe,21.112995,52.236145,Praga Południe,0.0,182
21.082883,52.241471,Praga Południe,21.08236,52.240826,Praga Południe,28.82693167646326,523
20.956588,52.2320244,Wola,20.9564666,52.2321992,Wola,5.431419458133163,523
21.067701,52.225872,Praga Południe,21.068619,52.225624,Praga Południe,24.601815279820414,507
